# protocol 771
codecs:
Handshake Serverbound 0x00 minecraft:intention HandshakeCodecs.Intention read:5 shape:varint,string,ushort,varint
Play Clientbound 0x08 minecraft:block_update WorldBlockCodecs.BlockUpdateV1_14 read:9 shape:block_pos,varint|Packed114
Play Clientbound 0x09 minecraft:boss_event BossBarCodecs.BossEventV1_21_5 fault:ComponentFormatException shape:uuid,varint,per_operation_fields|nbt/modern
Play Clientbound 0x0A minecraft:change_difficulty WorldStateCodecs.ChangeDifficultyV1_14 read:2 shape:opaque
Play Clientbound 0x0B minecraft:chunk_batch_finished WorldStateCodecs.ChunkBatchFinishedV1_20_2 read:1 shape:opaque
Play Clientbound 0x0C minecraft:chunk_batch_start WorldStateCodecs.ChunkBatchStartV1_20_2 read:0 shape:opaque
Play Clientbound 0x0D minecraft:chunks_biomes WorldStateCodecs.ChunksBiomesV1_19_4 read:1 shape:opaque
Play Clientbound 0x0E minecraft:clear_titles TitleCodecs.ClearTitlesV1_17 read:1 shape:opaque
Play Clientbound 0x0F minecraft:command_suggestions CommandSuggestionCodecs.CommandSuggestionsV1_20_3 read:4 shape:opaque
Play Clientbound 0x10 minecraft:commands CommandTreeCodecs.V1_21_6 fault:ProtocolViolationException shape:varint*node,varint|argtypes/116da89b,timemin=1
Play Clientbound 0x11 minecraft:container_close ContainerCodecs.ContainerCloseClientModern read:1 shape:opaque
Play Clientbound 0x12 minecraft:container_set_content MakeContainerSetContent(Table771) read:4 shape:varint,varint,varint*stack,stack|components/b2846a3a
Play Clientbound 0x13 minecraft:container_set_data ContainerCodecs.ContainerSetDataModern read:5 shape:opaque
Play Clientbound 0x14 minecraft:container_set_slot MakeContainerSetSlot(Table771) read:5 shape:varint,varint,short,stack|components/b2846a3a
Play Clientbound 0x15 minecraft:cookie_request PlayCommonCodecs.CookieRequest fault:FormatException shape:identifier
Play Clientbound 0x16 minecraft:cooldown UiMiscCodecs.CooldownV1_21_2 fault:FormatException shape:opaque
Play Clientbound 0x17 minecraft:custom_chat_completions ChatDisplayCodecs.CustomChatCompletionsV1_19_1 read:2 shape:opaque
Play Clientbound 0x18 minecraft:custom_payload marker n/a shape:opaque
Play Clientbound 0x19 minecraft:damage_event EntityStateCodecs.DamageEvent read:5 shape:opaque
Play Clientbound 0x1A minecraft:debug_sample marker n/a shape:opaque
Play Clientbound 0x1B minecraft:delete_chat ChatDisplayCodecs.DeleteChatV1_19_1 fault:ProtocolViolationException shape:opaque
Play Clientbound 0x1C minecraft:disconnect PlayCommonCodecs.DisconnectV1_21_5 fault:ComponentFormatException shape:component|nbt/modern
Play Clientbound 0x1D minecraft:disguised_chat ChatDisplayCodecs.DisguisedChatV1_21_5 fault:ComponentFormatException shape:opaque
Play Clientbound 0x1E minecraft:entity_event EntityStateCodecs.EntityEvent read:5 shape:opaque
Play Clientbound 0x1F minecraft:entity_position_sync EntityMoveCodecs.EntityPositionSync read:58 shape:opaque
Play Clientbound 0x20 minecraft:explode WorldEffectCodecs.ExplodeV1_21_6 read:29 shape:opaque
Play Clientbound 0x21 minecraft:forget_level_chunk WorldStateCodecs.ForgetLevelChunkV1_14 read:8 shape:opaque
Play Clientbound 0x22 minecraft:game_event WorldStateCodecs.GameEventV1_14 read:5 shape:opaque
Play Clientbound 0x23 minecraft:horse_screen_open marker n/a shape:opaque
Play Clientbound 0x24 minecraft:hurt_animation EntityStateCodecs.HurtAnimation read:5 shape:opaque
Play Clientbound 0x25 minecraft:initialize_border WorldBorderCodecs.InitializeBorderV1_17 read:36 shape:opaque
Play Clientbound 0x26 minecraft:keep_alive PlayKeepAliveCodecs.ClientV1_12_2 read:8 shape:long
Play Clientbound 0x27 minecraft:level_chunk_with_light ChunkCodecs.V1_21_5 read:256 shape:chunk_modern(FixedSize,fluid=0,biome=1,min=6)
Play Clientbound 0x28 minecraft:level_event WorldEffectCodecs.LevelEventV1_14 read:17 shape:opaque
Play Clientbound 0x29 minecraft:level_particles WorldEffectCodecs.LevelParticlesV1_21_6 read:47 shape:level_particles_modern(shapes=b2aecf14,icons=components/b2846a3a,alwaysshow=1)
Play Clientbound 0x2A minecraft:light_update WorldStateCodecs.LightUpdateV1_20 read:8 shape:opaque
Play Clientbound 0x2B minecraft:login JoinGameCodecs.V1_21_2 read:30 shape:join_game(legacy=0,onlinemode=0)
Play Clientbound 0x2C minecraft:map_item_data WorldMapCodecs.MapItemDataV1_21_5 read:5 shape:varint,byte,bool,opt(varint*icon),patch|nbt/modern
Play Clientbound 0x2D minecraft:merchant_offers MakeMerchantOffers(Table771) read:6 shape:varint,varint*offer,varint,varint,bool,bool|components/b2846a3a
Play Clientbound 0x2E minecraft:move_entity_pos EntityMoveCodecs.MoveEntityPosV1_9 read:8 shape:opaque
Play Clientbound 0x2F minecraft:move_entity_pos_rot EntityMoveCodecs.MoveEntityPosRotV1_9 read:10 shape:opaque
Play Clientbound 0x30 minecraft:move_minecart_along_track marker n/a shape:opaque
Play Clientbound 0x31 minecraft:move_entity_rot EntityMoveCodecs.MoveEntityRot read:4 shape:opaque
Play Clientbound 0x32 minecraft:move_vehicle marker n/a shape:opaque
Play Clientbound 0x33 minecraft:open_book UiMiscCodecs.OpenBookV1_14 read:1 shape:opaque
Play Clientbound 0x34 minecraft:open_screen ContainerCodecs.OpenScreenModern fault:ComponentFormatException shape:opaque
Play Clientbound 0x35 minecraft:open_sign_editor UiMiscCodecs.OpenSignEditorV1_14 read:9 shape:opaque
Play Clientbound 0x36 minecraft:ping UiMiscCodecs.PingV1_17 read:4 shape:opaque
Play Clientbound 0x37 minecraft:pong_response UiMiscCodecs.PongResponseV1_20_2 read:8 shape:opaque
Play Clientbound 0x38 minecraft:place_ghost_recipe RecipeCodecs.PlaceGhostRecipeModern read:256 shape:opaque
Play Clientbound 0x39 minecraft:player_abilities UiMiscCodecs.PlayerAbilitiesV1_8 read:9 shape:opaque
Play Clientbound 0x3A minecraft:player_chat ChatCodecs.V1_21_5 fault:ComponentFormatException shape:varint,uuid,varint,opt_signature,string,long,long,last_seen,opt_component,filter,chat_type|nbt/modern
Play Clientbound 0x3B minecraft:player_combat_end marker n/a shape:opaque
Play Clientbound 0x3C minecraft:player_combat_enter marker n/a shape:opaque
Play Clientbound 0x3D minecraft:player_combat_kill marker n/a shape:opaque
Play Clientbound 0x3E minecraft:player_info_remove PlayerListCodecs.PlayerInfoRemoveV1_19_3 read:1 shape:opaque
Play Clientbound 0x3F minecraft:player_info_update PlayerListCodecs.PlayerInfoUpdateV1_21_5 read:2 shape:byte,varint*(uuid,per_action_fields)|AddPlayer+InitializeChat+UpdateGameMode+UpdateListed+UpdateLatency+UpdateDisplayName+UpdateListOrder+UpdateHat,hat=1,nbt/modern
Play Clientbound 0x40 minecraft:player_look_at marker n/a shape:opaque
Play Clientbound 0x41 minecraft:player_position EntityMoveCodecs.PlayerPositionV1_21_2 read:61 shape:opaque
Play Clientbound 0x42 minecraft:player_rotation marker n/a shape:opaque
Play Clientbound 0x43 minecraft:recipe_book_add RecipeCodecs.RecipeBookAdd(RecipeBookWire.V1_21_5(Table771)) read:2 shape:recipe_book_add(slots=Empty+AnyFuel+Item+ItemStack+Tag+SmithingTrim+WithRemainder+Composite,trimholder=1,stacks=countfirst/components/b2846a3a)
Play Clientbound 0x44 minecraft:recipe_book_remove RecipeCodecs.RecipeBookRemoveModern read:1 shape:opaque
Play Clientbound 0x45 minecraft:recipe_book_settings RecipeCodecs.RecipeBookSettingsModern read:8 shape:opaque
Play Clientbound 0x46 minecraft:remove_entities EntitySpawnCodecs.RemoveEntities read:1 shape:opaque
Play Clientbound 0x47 minecraft:remove_mob_effect EntityEffectCodecs.RemoveMobEffectV1_18 read:2 shape:opaque
Play Clientbound 0x48 minecraft:reset_score ScoreboardCodecs.ResetScoreV1_20_3 read:2 shape:opaque
Play Clientbound 0x49 minecraft:resource_pack_pop ResourcePackCodecs.ResourcePackPopV1_20_3 read:1 shape:opaque
Play Clientbound 0x4A minecraft:resource_pack_push ResourcePackCodecs.ResourcePackPushV1_21_5 read:20 shape:uuid,string,string,bool,opt_component|nbt/modern
Play Clientbound 0x4B minecraft:respawn WorldStateCodecs.RespawnV1_21_2 read:18 shape:spawn_info,byte|dimtypestring=0,sealevel=1
Play Clientbound 0x4C minecraft:rotate_head EntityMoveCodecs.RotateHead read:2 shape:opaque
Play Clientbound 0x4D minecraft:section_blocks_update WorldBlockCodecs.SectionBlocksUpdateV1_20 read:9 shape:opaque
Play Clientbound 0x4E minecraft:select_advancements_tab AdvancementCodecs.SelectAdvancementsTabV1_12 read:1 shape:opaque
Play Clientbound 0x4F minecraft:server_data ChatDisplayCodecs.ServerDataV1_21_5 fault:ComponentFormatException shape:opaque
Play Clientbound 0x50 minecraft:set_action_bar_text TitleCodecs.SetActionBarTextV1_21_5 fault:ComponentFormatException shape:opaque
Play Clientbound 0x51 minecraft:set_border_center WorldBorderCodecs.SetBorderCenterV1_17 read:16 shape:opaque
Play Clientbound 0x52 minecraft:set_border_lerp_size WorldBorderCodecs.SetBorderLerpSizeV1_17 read:17 shape:opaque
Play Clientbound 0x53 minecraft:set_border_size WorldBorderCodecs.SetBorderSizeV1_17 read:8 shape:opaque
Play Clientbound 0x54 minecraft:set_border_warning_delay WorldBorderCodecs.SetBorderWarningDelayV1_17 read:1 shape:opaque
Play Clientbound 0x55 minecraft:set_border_warning_distance WorldBorderCodecs.SetBorderWarningDistanceV1_17 read:1 shape:opaque
Play Clientbound 0x56 minecraft:set_camera EntityStateCodecs.SetCamera read:1 shape:opaque
Play Clientbound 0x57 minecraft:set_chunk_cache_center WorldStateCodecs.SetChunkCacheCenterV1_14 read:2 shape:opaque
Play Clientbound 0x58 minecraft:set_chunk_cache_radius WorldStateCodecs.SetChunkCacheRadiusV1_14 read:1 shape:opaque
Play Clientbound 0x59 minecraft:set_cursor_item MakeSetCursorItem(Table771) read:1 shape:stack|components/b2846a3a
Play Clientbound 0x5A minecraft:set_default_spawn_position WorldStateCodecs.SetDefaultSpawnV1_17 read:12 shape:opaque
Play Clientbound 0x5B minecraft:set_display_objective ScoreboardCodecs.SetDisplayObjectiveV1_20_2 read:2 shape:opaque
Play Clientbound 0x5C minecraft:set_entity_data EntityDataCodecs.SetEntityDataV1_21_6 fault:ProtocolViolationException shape:varint,metadata|metadata/59245ff2,Modern,countfirst/components/b2846a3a,particles=components/b2846a3a
Play Clientbound 0x5D minecraft:set_entity_link EntityStateCodecs.SetEntityLinkV1_9 read:8 shape:opaque
Play Clientbound 0x5E minecraft:set_entity_motion EntityMoveCodecs.SetEntityMotion read:7 shape:opaque
Play Clientbound 0x5F minecraft:set_equipment EntityEquipmentCodecs.SetEquipmentV1_16 read:256 shape:opaque
Play Clientbound 0x60 minecraft:set_experience EntityStateCodecs.SetExperience read:6 shape:opaque
Play Clientbound 0x61 minecraft:set_health EntityStateCodecs.SetHealth read:9 shape:opaque
Play Clientbound 0x62 minecraft:set_held_slot EntityStateCodecs.SetHeldSlotV1_21_4 read:1 shape:opaque
Play Clientbound 0x63 minecraft:set_objective ScoreboardCodecs.SetObjectiveV1_21_5 fault:ComponentFormatException shape:opaque
Play Clientbound 0x64 minecraft:set_passengers EntityStateCodecs.SetPassengers read:2 shape:opaque
Play Clientbound 0x65 minecraft:set_player_inventory MakeSetPlayerInventory(Table771) read:2 shape:varint,stack|components/b2846a3a
Play Clientbound 0x66 minecraft:set_player_team ScoreboardCodecs.SetPlayerTeamV1_21_5 fault:ComponentFormatException shape:set_player_team(V1_21_5)
Play Clientbound 0x67 minecraft:set_score ScoreboardCodecs.SetScoreV1_21_5 read:5 shape:opaque
Play Clientbound 0x68 minecraft:set_simulation_distance WorldStateCodecs.SetSimulationDistanceV1_18 read:1 shape:opaque
Play Clientbound 0x69 minecraft:set_subtitle_text TitleCodecs.SetSubtitleTextV1_21_5 fault:ComponentFormatException shape:opaque
Play Clientbound 0x6A minecraft:set_time WorldStateCodecs.SetTimeV1_21_2 read:17 shape:opaque
Play Clientbound 0x6B minecraft:set_title_text TitleCodecs.SetTitleTextV1_21_5 fault:ComponentFormatException shape:opaque
Play Clientbound 0x6C minecraft:set_titles_animation TitleCodecs.SetTitlesAnimationV1_17 read:12 shape:opaque
Play Clientbound 0x6D minecraft:sound_entity WorldEffectCodecs.SoundEntityV1_14 read:21 shape:opaque
Play Clientbound 0x6E minecraft:sound WorldEffectCodecs.SoundV1_19 read:32 shape:opaque
Play Clientbound 0x6F minecraft:start_configuration ConfigurationCodecs.StartConfiguration read:0 shape:opaque
Play Clientbound 0x70 minecraft:stop_sound WorldEffectCodecs.StopSoundV1_13 read:1 shape:opaque
Play Clientbound 0x71 minecraft:store_cookie PlayCommonCodecs.StoreCookie fault:FormatException shape:identifier,bytes
Play Clientbound 0x72 minecraft:system_chat ChatDisplayCodecs.SystemChatV1_21_5 fault:ComponentFormatException shape:opaque
Play Clientbound 0x73 minecraft:tab_list PlayerListCodecs.TabListV1_21_5 fault:ComponentFormatException shape:opaque
Play Clientbound 0x74 minecraft:tag_query marker n/a shape:opaque
Play Clientbound 0x75 minecraft:take_item_entity EntityStateCodecs.TakeItemEntityV1_11 read:3 shape:opaque
Play Clientbound 0x76 minecraft:teleport_entity EntityMoveCodecs.TeleportEntityV1_21_2 read:62 shape:opaque
Play Clientbound 0x77 minecraft:test_instance_block_status marker n/a shape:opaque
Play Clientbound 0x78 minecraft:ticking_state marker n/a shape:opaque
Play Clientbound 0x79 minecraft:ticking_step marker n/a shape:opaque
Play Clientbound 0x7A minecraft:transfer PlayCommonCodecs.Transfer read:2 shape:string,varint
Play Clientbound 0x7B minecraft:update_advancements AdvancementCodecs.UpdateAdvancementsV1_21_6 read:5 shape:update_advancements(icon=countfirst/components/b2846a3a,text=nbt/modern,criteria=0,telemetry=1,showadv=1)
Play Clientbound 0x7C minecraft:update_attributes EntityEquipmentCodecs.UpdateAttributesV1_21 read:2 shape:opaque
Play Clientbound 0x7D minecraft:update_mob_effect EntityEffectCodecs.UpdateMobEffectV1_20_5 read:5 shape:opaque
Play Clientbound 0x7E minecraft:update_recipes RecipeCodecs.UpdateRecipesModern read:256 shape:opaque
Play Clientbound 0x7F minecraft:update_tags marker n/a shape:opaque
Play Clientbound 0x80 minecraft:projectile_power marker n/a shape:opaque
Play Clientbound 0x81 minecraft:custom_report_details ChatDisplayCodecs.CustomReportDetailsV1_21 read:1 shape:opaque
Play Clientbound 0x82 minecraft:server_links UiMiscCodecs.ServerLinksV1_21_5 read:1 shape:varint*server_link|nbt/modern
Play Clientbound 0x83 minecraft:waypoint UiMiscCodecs.WaypointV1_21_6 fault:FormatException shape:opaque
Play Clientbound 0x84 minecraft:clear_dialog UiMiscCodecs.ClearDialogV1_21_6 read:0 shape:opaque
Play Clientbound 0x85 minecraft:show_dialog UiMiscCodecs.ShowDialogV1_21_6 read:2 shape:opaque
Play Serverbound 0x00 minecraft:accept_teleportation EntityServerboundCodecs.AcceptTeleportation read:1 shape:opaque
Play Serverbound 0x01 minecraft:block_entity_tag_query marker n/a shape:opaque
Play Serverbound 0x02 minecraft:bundle_item_selected marker n/a shape:opaque
Play Serverbound 0x03 minecraft:change_difficulty marker n/a shape:opaque
Play Serverbound 0x04 minecraft:change_game_mode marker n/a shape:opaque
Play Serverbound 0x05 minecraft:chat_ack ChatCodecs.ChatAckV1_19_3 read:1 shape:opaque
Play Serverbound 0x06 minecraft:chat_command ChatCommandCodecs.UnsignedV1_20_5 read:1 shape:opaque
Play Serverbound 0x07 minecraft:chat_command_signed ChatCommandCodecs.SignedStandaloneV1_21_5 read:23 shape:opaque
Play Serverbound 0x08 minecraft:chat ChatCodecs.SignedV1_21_5 read:23 shape:opaque
Play Serverbound 0x09 minecraft:chat_session_update ChatCodecs.ChatSessionUpdateV1_19_3 read:26 shape:opaque
Play Serverbound 0x0A minecraft:chunk_batch_received WorldStateCodecs.ChunkBatchReceivedV1_20_2 read:4 shape:opaque
Play Serverbound 0x0B minecraft:client_command PlayCommonCodecs.ClientCommand read:1 shape:varint
Play Serverbound 0x0C minecraft:client_tick_end PlayCommonCodecs.ClientTickEnd read:0 shape:empty
Play Serverbound 0x0D minecraft:client_information PlayClientInformationCodecs.V1_21_2 read:9 shape:opaque
Play Serverbound 0x0E minecraft:command_suggestion CommandSuggestionCodecs.ServerCommandSuggestionV1_13 read:2 shape:opaque
Play Serverbound 0x0F minecraft:configuration_acknowledged ConfigurationCodecs.ConfigurationAcknowledged read:0 shape:opaque
Play Serverbound 0x10 minecraft:container_button_click ContainerCodecs.ContainerButtonClickModern read:2 shape:opaque
Play Serverbound 0x11 minecraft:container_click MakeContainerClick(Table771) read:8 shape:varint,varint,short,byte,varint,varint*(short,hashed_stack),hashed_stack|components/b2846a3a
Play Serverbound 0x12 minecraft:container_close ContainerCodecs.ContainerCloseServerModern read:1 shape:opaque
Play Serverbound 0x13 minecraft:container_slot_state_changed ContainerCodecs.ContainerSlotStateChangedModern read:3 shape:opaque
Play Serverbound 0x14 minecraft:cookie_response PlayCommonCodecs.CookieResponse fault:FormatException shape:identifier,opt_bytes
Play Serverbound 0x15 minecraft:custom_payload marker n/a shape:opaque
Play Serverbound 0x16 minecraft:debug_sample_subscription marker n/a shape:opaque
Play Serverbound 0x17 minecraft:edit_book UiMiscCodecs.EditBookV1_17 read:3 shape:opaque
Play Serverbound 0x18 minecraft:entity_tag_query marker n/a shape:opaque
Play Serverbound 0x19 minecraft:interact EntityServerboundCodecs.InteractV1_16 read:4 shape:opaque
Play Serverbound 0x1A minecraft:jigsaw_generate marker n/a shape:opaque
Play Serverbound 0x1B minecraft:keep_alive PlayKeepAliveCodecs.ServerV1_12_2 read:8 shape:long
Play Serverbound 0x1C minecraft:lock_difficulty marker n/a shape:opaque
Play Serverbound 0x1D minecraft:move_player_pos EntityServerboundCodecs.MovePlayerPosV1_14 read:25 shape:opaque
Play Serverbound 0x1E minecraft:move_player_pos_rot EntityServerboundCodecs.MovePlayerPosRotV1_14 read:33 shape:opaque
Play Serverbound 0x1F minecraft:move_player_rot EntityServerboundCodecs.MovePlayerRotV1_14 read:9 shape:opaque
Play Serverbound 0x20 minecraft:move_player_status_only EntityServerboundCodecs.MovePlayerStatusOnly read:1 shape:opaque
Play Serverbound 0x21 minecraft:move_vehicle EntityServerboundCodecs.MoveVehicle read:33 shape:opaque
Play Serverbound 0x22 minecraft:paddle_boat EntityServerboundCodecs.PaddleBoat read:2 shape:opaque
Play Serverbound 0x23 minecraft:pick_item_from_block UseItemCodecs.PickItemFromBlockModern read:9 shape:opaque
Play Serverbound 0x24 minecraft:pick_item_from_entity UseItemCodecs.PickItemFromEntityModern read:2 shape:opaque
Play Serverbound 0x25 minecraft:ping_request UiMiscCodecs.ServerPingRequestV1_20_2 read:8 shape:opaque
Play Serverbound 0x26 minecraft:place_recipe RecipeCodecs.PlaceRecipeModern read:3 shape:opaque
Play Serverbound 0x27 minecraft:player_abilities UiMiscCodecs.ServerPlayerAbilitiesV1_14 read:1 shape:opaque
Play Serverbound 0x28 minecraft:player_action EntityServerboundCodecs.PlayerActionV1_19 read:11 shape:opaque
Play Serverbound 0x29 minecraft:player_command EntityServerboundCodecs.PlayerCommand read:3 shape:opaque
Play Serverbound 0x2A minecraft:player_input EntityServerboundCodecs.PlayerInput read:1 shape:opaque
Play Serverbound 0x2B minecraft:player_loaded PlayCommonCodecs.PlayerLoaded read:0 shape:empty
Play Serverbound 0x2C minecraft:pong UiMiscCodecs.ServerPongV1_17 read:4 shape:opaque
Play Serverbound 0x2D minecraft:recipe_book_change_settings RecipeCodecs.RecipeBookChangeSettingsModern read:3 shape:opaque
Play Serverbound 0x2E minecraft:recipe_book_seen_recipe RecipeCodecs.RecipeBookSeenRecipeModern read:1 shape:opaque
Play Serverbound 0x2F minecraft:rename_item ContainerCodecs.RenameItemV1_13 read:1 shape:opaque
Play Serverbound 0x30 minecraft:resource_pack ResourcePackCodecs.ServerResourcePackV1_20_3 read:17 shape:opaque
Play Serverbound 0x31 minecraft:seen_advancements AdvancementCodecs.SeenAdvancementsV1_12 fault:FormatException shape:opaque
Play Serverbound 0x32 minecraft:select_trade MerchantCodecs.SelectTradeModern read:1 shape:opaque
Play Serverbound 0x33 minecraft:set_beacon marker n/a shape:opaque
Play Serverbound 0x34 minecraft:set_carried_item EntityServerboundCodecs.SetCarriedItem read:2 shape:opaque
Play Serverbound 0x35 minecraft:set_command_block WorldBlockCodecs.SetCommandBlockV1_14 read:11 shape:opaque
Play Serverbound 0x36 minecraft:set_command_minecart marker n/a shape:opaque
Play Serverbound 0x37 minecraft:set_creative_mode_slot MakeCreativeSlot(Table771) read:3 shape:short,delimited_stack|components/b2846a3a
Play Serverbound 0x38 minecraft:set_jigsaw_block marker n/a shape:opaque
Play Serverbound 0x39 minecraft:set_structure_block marker n/a shape:opaque
Play Serverbound 0x3A minecraft:set_test_block marker n/a shape:opaque
Play Serverbound 0x3B minecraft:sign_update UiMiscCodecs.SignUpdateV1_20 read:13 shape:opaque
Play Serverbound 0x3C minecraft:swing EntityServerboundCodecs.SwingV1_9 read:1 shape:opaque
Play Serverbound 0x3D minecraft:teleport_to_entity EntityServerboundCodecs.TeleportToEntity read:16 shape:opaque
Play Serverbound 0x3E minecraft:test_instance_block_action marker n/a shape:opaque
Play Serverbound 0x3F minecraft:use_item_on UseItemCodecs.UseItemOnModern read:25 shape:opaque
Play Serverbound 0x40 minecraft:use_item UseItemCodecs.UseItemModern read:10 shape:opaque
Play Serverbound 0x41 minecraft:custom_click_action UiMiscCodecs.CustomClickActionV1_21_6 fault:FormatException shape:opaque
